survey_date,observers,site,waypoint,species,count,cover,notes,key1,key2
2021-05-08,"AC, SA, DC",Yerington,1,none,,,SAVE4 shrubs in area,survey_date,date that the vegetation survey occurred. YYYY-MM-DD
2021-05-08,"AC, SA, DC",Yerington,5,SAVE4,1,40,,observers,"AC = Anson Call, SA = Sami Akiba, DC = Douglas Collins, BB = Benjamin Baker, BD = Brooke DerAshodian SC = Shannon Campbell"
2021-05-08,"AC, SA, DC",Yerington,5,Cryptantha,12,1,,site,the farm where the survey occurred
2021-05-08,"AC, SA, DC",Yerington,5,ALDE,29,1,,waypoint,"Corresponds to a waypoint in the .gpx files. May not be an exact match, e.g. Yerington 1 may be Y1 in the gpx file"
2021-05-08,"AC, SA, DC",Yerington,8,HAGL,3,1,,species,"NRCS code when known. Many species still in plant press, yet to be identified"
2021-05-08,"AC, SA, DC",Yerington,8,SAVE4,1,20,,count,number of individuals of a given species present in the 1x1m plot. Didn’t always count if the number was very high
2021-05-08,"AC, SA, DC",Yerington,8,ALDE,29,1,,cover,"visual estimate of the ground cover for a given species. 1 == “present, but cover is minimal.”"
2021-05-08,"AC, SA, DC",Yerington,9,HAGL,1,1,,notes,misc notes
2021-05-08,"AC, SA, DC",Yerington,9,SAVE4,1,5,,,
2021-05-08,"AC, SA, DC",Yerington,7,HAGL,3,1,,,
2021-05-08,"AC, SA, DC",Yerington,7,ALDE,2,1,,,
2021-05-08,"AC, SA, DC",Yerington,7,UNK1,3,1,,,
2021-05-08,"AC, SA, DC",Yerington,7,HAGL,4,1,,,
2021-05-08,"AC, SA, DC",Yerington,7,SUMO,15,1,,,
2021-05-08,"AC, SA, DC",Yerington,14,HAGL,5,1,,,
2021-05-08,"AC, SA, DC",Yerington,14,SATR12,2,1,,,
2021-05-08,"AC, SA, DC",Yerington,14,DEPI,16,1,,,
2021-05-08,"AC, SA, DC",Yerington,16,none,,,in dairy farm,,
2021-05-08,"AC, SA, DC",Yerington,13,none,,,in dairy farm,,
2021-05-08,"AC, SA, DC",Yerington,25,none,,,in dairy farm,,
2021-05-08,"AC, SA, DC",Yerington,28,Cryptantha,1,1,,,
2021-05-08,"AC, SA, DC",Yerington,28,BRTE,106,10,,,
2021-05-08,"AC, SA, DC",Yerington,28,HAGL,1,1,,,
2021-05-08,"AC, SA, DC",Yerington,28,DEPI,3,1,,,
2021-05-08,"AC, SA, DC",Yerington,28,MEAL6,2,1,,,
2021-05-08,"AC, SA, DC",Yerington,28,SATR12,1,1,,,
2021-05-08,"AC, SA, DC",Yerington,28,ONAG1,22,5,,,
2021-05-08,"AC, SA, DC",Yerington,30,MEAL6,7,1,,,
2021-05-08,"AC, SA, DC",Yerington,30,BRTE,78,15,,,
2021-05-08,"AC, SA, DC",Yerington,30,PSPO,1,1,,,
2021-05-08,"AC, SA, DC",Yerington,30,Cryptantha,1,1,,,
2021-05-08,"AC, SA, DC",Yerington,19,UNK4,20,5,,,
2021-05-08,"AC, SA, DC",Yerington,17,none,,,,,
2021-05-08,"AC, SA, DC",Yerington,20,UNK4,80,,,,
2021-05-08,"AC, SA, DC",Yerington,20,corn,,5,,,
2021-05-08,"AC, SA, DC",Yerington,20,UNK3,2,1,,,
2021-05-08,"AC, SA, DC",Yerington,20,Poaceae,,5,,,
2021-05-08,"AC, SA, DC",Yerington,22,MESA,,95,,,
2021-05-08,"AC, SA, DC",Yerington,22,DEPI,2,1,,,
2021-05-08,"AC, SA, DC",Yerington,22,TEOF,2,1,,,
2021-05-08,"AC, SA, DC",Yerington,15,onion,,5,agricultural onion field. Homogenous,,
2021-05-08,"AC, SA, DC",Yerington,11,,,,peri onion farm. Did not trespass,,
2021-05-08,"AC, SA, DC",Yerington,10,,,,peri onion farm. Did not trespass,,
2021-05-08,"AC, SA, DC",Yerington,12,none,,,bare soil – fallow field,,
2021-05-08,"AC, SA, DC",Yerington,8B,ALDE,21,1,"already did 8 once, but accidentally circled back to the waypoint and surveyed a slightly different spot. May decide to throw this one out.",,
2021-05-08,"AC, SA, DC",Yerington,8B,UNK5,848,10,"already did 8 once, but accidentally circled back to the waypoint and surveyed a slightly different spot. May decide to throw this one out.",,
2021-05-08,"AC, SA, DC",Yerington,2,onion,,,agricultural onion field. Homogenous,,
2021-05-08,"AC, SA, DC",Yerington,3,onion,,,agricultural onion field. Homogenous,,
2021-05-08,"AC, SA, DC",Yerington,4,onion,,,agricultural onion field. Homogenous,,
2021-05-08,"AC, SA, DC",Yerington,6,onion,,,agricultural onion field. Homogenous,,
2021-05-08,"AC, SA, DC",Yerington,27,MEAL6,1,1,,,
2021-05-08,"AC, SA, DC",Yerington,27,DEPI,1,1,,,
2021-05-08,"AC, SA, DC",Yerington,30,UNK2,1,1,,,
2021-05-08,"AC, SA, DC",Yerington,32,SAVE4,1,20,,,
2021-05-08,"AC, SA, DC",Yerington,32,ALDE,4,1,,,
2021-05-08,"AC, SA, DC",Yerington,32,HAGL,1,1,,,
2021-05-08,"AC, SA, DC",Yerington,32,ONAG1,1,1,,,
2021-05-08,"AC, SA, DC",Yerington,32,CHEN1,1,1,,,
2021-05-08,"AC, SA, DC",Yerington,33,,,,bare soil,,
2021-05-08,"AC, SA, DC",Yerington,35,UNK3,22,,fuzzy plant,,
2021-05-08,"AC, SA, DC",Yerington,35,UNK4,35,,holey plant,,
2021-05-08,"AC, SA, DC",Yerington,36,dead annual,,50,dead annual – unidentifiable,,
2021-05-08,"AC, SA, DC",Yerington,34,,,,agricultural corn field – bare soil section,,
2021-05-08,"AC, SA, DC",Yerington,31,,,,road,,
2021-05-08,"AC, SA, DC",Yerington,29,MESA,,95,,,
2021-05-08,"AC, SA, DC",Yerington,29,CABU2,7,5,shepherd’s purse,,
2021-05-08,"AC, SA, DC",Yerington,29,LASE,2,1,,,
2021-05-08,"AC, SA, DC",Yerington,29,DEPI,1,1,,,
2021-05-08,"AC, SA, DC",Yerington,26,ZEMA,,100,ag monoculture,,
2021-05-08,"AC, SA, DC",Yerington,24,SAVE4,1,1,,,
2021-05-08,"AC, SA, DC",Yerington,24,ATCO,2,15,,,
2021-05-08,"AC, SA, DC",Yerington,24,HAGL,1,1,,,
2021-05-08,"AC, SA, DC",Yerington,23,ZEMA,,100,,,
2021-05-08,"AC, SA, DC",Yerington,18,UNK3,12,5,field margin,,
2021-05-08,"AC, SA, DC",Yerington,18,UNK4,5,1,field margin,,
2021-05-08,"AC, SA, DC",Yerington,18,SUMO,1,1,field margin,,
2021-05-08,"AC, SA, DC",Yerington,21,ZEMA,,50,,,
2021-05-08,"AC, SA, DC",Yerington,21,UNK4,30,10,,,
2021-05-08,"AC, SA, DC",Yerington,19,ZEMA,,80,,,
2021-05-08,"AC, SA, DC",Yerington,19,MESA,2,5,,,
2021-05-13,"AC, SA, BD",Fallon,1,ZEMA,,50,,,
2021-05-13,"AC, SA, BD",Fallon,1,ERCI6,2,1,,,
2021-05-13,"AC, SA, BD",Fallon,1,DEPI,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,2,Equisetum,18,1,dead annuals present but not ID’d,,
2021-05-13,"AC, SA, BD",Fallon,3,BRTE,10,3,,,
2021-05-13,"AC, SA, BD",Fallon,3,UNK5,164,1,,,
2021-05-13,"AC, SA, BD",Fallon,3,MAPA5,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,3,DEPI,4,1,,,
2021-05-13,"AC, SA, BD",Fallon,4,MESA,,65,,,
2021-05-13,"AC, SA, BD",Fallon,4,DEPI,6,5,,,
2021-05-13,"AC, SA, BD",Fallon,4,CABU2,6,5,,,
2021-05-13,"AC, SA, BD",Fallon,5,DEPI,8,5,,,
2021-05-13,"AC, SA, BD",Fallon,5,BRTE,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,5,UNK6,3,5,,,
2021-05-13,"AC, SA, BD",Fallon,5,UNK4,4,1,,,
2021-05-13,"AC, SA, BD",Fallon,5,COAR4,2,1,,,
2021-05-13,"AC, SA, BD",Fallon,5,UNK5,11,1,,,
2021-05-13,"AC, SA, BD",Fallon,6,BRTE,48,20,,,
2021-05-13,"AC, SA, BD",Fallon,6,GRASS1,25,20,,,
2021-05-13,"AC, SA, BD",Fallon,6,GRASS2,5,20,,,
2021-05-13,"AC, SA, BD",Fallon,6,DEPI,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,6,UNK5,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,7,BRTE,100,30,,,
2021-05-13,"AC, SA, BD",Fallon,7,DEPI,2,1,,,
2021-05-13,"AC, SA, BD",Fallon,7,UNK5,2,1,,,
2021-05-13,"AC, SA, BD",Fallon,7,COAR4,5,5,,,
2021-05-13,"AC, SA, BD",Fallon,8,GRASS3,60,10,,,
2021-05-13,"AC, SA, BD",Fallon,8,MESA,5,10,,,
2021-05-13,"AC, SA, BD",Fallon,8,PLLA,10,5,,,
2021-05-13,"AC, SA, BD",Fallon,9,MESA,8,20,,,
2021-05-13,"AC, SA, BD",Fallon,9,BRTE,45,5,,,
2021-05-13,"AC, SA, BD",Fallon,9,ASSP,5,1,,,
2021-05-13,"AC, SA, BD",Fallon,9,IVAX,29,5,,,
2021-05-13,"AC, SA, BD",Fallon,10,,,,private property,,
2021-05-13,"AC, SA, BD",Fallon,13,,,,some dead HAGL – from last year?,,
2021-05-13,"AC, SA, BD",Fallon,12,UNK8,4,15,,,
2021-05-13,"AC, SA, BD",Fallon,12,SUMO,2,1,,,
2021-05-13,"AC, SA, BD",Fallon,12,ATCO,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,14,,,,bare dirt road,,
2021-05-13,"AC, SA, BD",Fallon,15,DEPI,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,15,ATCO,1,5,,,
2021-05-13,"AC, SA, BD",Fallon,15,BRTE,6,1,,,
2021-05-13,"AC, SA, BD",Fallon,15,UNK9,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,16,SAVE4,1,10,,,
2021-05-13,"AC, SA, BD",Fallon,16,BRTE,3,1,,,
2021-05-13,"AC, SA, BD",Fallon,17,SAVE4,1,60,in the river bottom,,
2021-05-13,"AC, SA, BD",Fallon,18,,,,bare ground/dead shrubs,,
2021-05-13,"AC, SA, BD",Fallon,19,,,,private property,,
2021-05-13,"AC, SA, BD",Fallon,20,LEPI,120,15,,,
2021-05-13,"AC, SA, BD",Fallon,20,ZEMA,,5,,,
2021-05-13,"AC, SA, BD",Fallon,20,Atriplex sp.,12,1,,,
2021-05-13,"AC, SA, BD",Fallon,20,GRASS4,200,15,,,
2021-05-13,"AC, SA, BD",Fallon,22,MESA,,,"private property, survey from a distance",,
2021-05-13,"AC, SA, BD",Fallon,23,COAR4,14,30,,,
2021-05-13,"AC, SA, BD",Fallon,23,UNK10,62,30,,,
2021-05-13,"AC, SA, BD",Fallon,23,UNK5,114,5,,,
2021-05-13,"AC, SA, BD",Fallon,23,GRASS4,12,1,,,
2021-05-13,"AC, SA, BD",Fallon,24,MESA,,100,,,
2021-05-13,"AC, SA, BD",Fallon,25,UNK10,115,80,,,
2021-05-13,"AC, SA, BD",Fallon,25,COAR4,3,5,,,
2021-05-13,"AC, SA, BD",Fallon,26,GRASS5,12,5,,,
2021-05-13,"AC, SA, BD",Fallon,26,TEOF,1,5,,,
2021-05-13,"AC, SA, BD",Fallon,26,UNK5,123,5,,,
2021-05-13,"AC, SA, BD",Fallon,26,COAR4,34,35,,,
2021-05-13,"AC, SA, BD",Fallon,27,MESA,,100,,,
2021-05-13,"AC, SA, BD",Fallon,28,Cattails,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,28,PLLA,19,10,,,
2021-05-13,"AC, SA, BD",Fallon,28,GRASS5,17,10,,,
2021-05-13,"AC, SA, BD",Fallon,28,UNK5,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,30,PLLA,12,15,,,
2021-05-13,"AC, SA, BD",Fallon,30,UNK10,15,20,,,
2021-05-13,"AC, SA, BD",Fallon,30,COAR4,11,15,,,
2021-05-13,"AC, SA, BD",Fallon,30,DEPI,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,30,UNK5,80,10,,,
2021-05-13,"AC, SA, BD",Fallon,30,GRASS6,12,10,,,
2021-05-13,"AC, SA, BD",Fallon,31,COAR4,6,5,,,
2021-05-13,"AC, SA, BD",Fallon,31,PLLA,20,30,,,
2021-05-13,"AC, SA, BD",Fallon,31,UNK5,36,10,,,
2021-05-13,"AC, SA, BD",Fallon,31,UNK11,16,15,,,
2021-05-13,"AC, SA, BD",Fallon,31,MESA,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,31,TEOF,2,5,,,
2021-05-13,"AC, SA, BD",Fallon,31,GRASS6,150,10,,,
2021-05-13,"AC, SA, BD",Fallon,32,MESA,,100,,,
2021-05-13,"AC, SA, BD",Fallon,33,,,,asphalt,,
2021-05-13,"AC, SA, BD",Fallon,34,MESA,,,surveyed from a distance,,
2021-05-13,"AC, SA, BD",Fallon,36,,,,private property (house),,
2021-05-13,"AC, SA, BD",Fallon,35,,,,private property (house),,
2021-05-13,"AC, SA, BD",Fallon,37,GRASS3,,55,,,
2021-05-13,"AC, SA, BD",Fallon,37,COAR4,8,15,,,
2021-05-13,"AC, SA, BD",Fallon,37,BRTE,,5,,,
2021-05-13,"AC, SA, BD",Fallon,37,MESA,11,15,,,
2021-05-13,"AC, SA, BD",Fallon,37,ERCE6,9,1,,,
2021-05-13,"AC, SA, BD",Fallon,37,GRASS2,2,1,,,
2021-05-13,"AC, SA, BD",Fallon,38,MESA,,45,,,
2021-05-13,"AC, SA, BD",Fallon,39,MESA,,45,,,
2021-05-13,"AC, SA, BD",Fallon,39,ERCE6,45,1,,,
2021-05-13,"AC, SA, BD",Fallon,40,MESA,,65,,,
2021-05-13,"AC, SA, BD",Fallon,41,,,,"bare ground, junk yard",,
2021-05-13,"AC, SA, BD",Fallon,42,GRASS7,,100,canal bank,,
2021-05-13,"AC, SA, BD",Fallon,44,,,,private property (house),,
2021-05-13,"AC, SA, BD",Fallon,45,MESA,,85,,,
2021-05-13,"AC, SA, BD",Fallon,46,,,,private property (house),,
2021-05-13,"AC, SA, BD",Fallon,43,DEPI,100,35,,,
2021-05-13,"AC, SA, BD",Fallon,43,ZEMA,,35,,,
2021-05-13,"AC, SA, BD",Fallon,47,DEPI,,,,,
2021-05-13,"AC, SA, BD",Fallon,47,UNK5,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,47,UNK4,2,5,,,
2021-05-13,"AC, SA, BD",Fallon,47,COAR4,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,47,GRASS1,5,1,,,
2021-05-13,"AC, SA, BD",Fallon,48,ASFA,2,1,,,
2021-05-13,"AC, SA, BD",Fallon,48,MESA,1,5,,,
2021-05-13,"AC, SA, BD",Fallon,48,UNK4,12,5,,,
2021-05-13,"AC, SA, BD",Fallon,48,DEPI,1,5,,,
2021-05-13,"AC, SA, BD",Fallon,48,RhizoGRS,7,1,,,
2021-05-13,"AC, SA, BD",Fallon,48,UNK5,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,48,UNK12,15,1,,,
2021-05-13,"AC, SA, BD",Fallon,49,RhizoGRS,2,1,mostly bare ground,,
2021-05-13,"AC, SA, BD",Fallon,50,UNK4,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,50,ERCE6,8,15,,,
2021-05-13,"AC, SA, BD",Fallon,50,COAR4,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,50,RhizoGRS,7,1,,,
2021-05-13,"AC, SA, BD",Fallon,51,MESA,,85,,,
2021-05-13,"AC, SA, BD",Fallon,52,,,,private property (house),,
2021-05-13,"AC, SA, BD",Fallon,53,DEPI,164,10,,,
2021-05-13,"AC, SA, BD",Fallon,53,UNK5,8,10,,,
2021-05-13,"AC, SA, BD",Fallon,54,ASFA,4,35,,,
2021-05-13,"AC, SA, BD",Fallon,54,UNK11,8,35,,,
2021-05-13,"AC, SA, BD",Fallon,55,MESA,,85,,,
2021-05-13,"AC, SA, BD",Fallon,56,DEPI,18,5,,,
2021-05-13,"AC, SA, BD",Fallon,56,UNK5,1,1,,,
2021-05-13,"AC, SA, BD",Fallon,57,,,,private property (house),,
2021-05-25,"AC, SA, DC",Minden,1,,,,bare field,,
2021-05-25,"AC, SA, DC",Minden,2,,,,bare field,,
2021-05-25,"AC, SA, DC",Minden,3,MESA,1,5,,,
2021-05-25,"AC, SA, DC",Minden,4,UNK13,8,1,,,
2021-05-25,"AC, SA, DC",Minden,4,UNK9,14,5,,,
2021-05-25,"AC, SA, DC",Minden,4,GRASS2,7,5,,,
2021-05-25,"AC, SA, DC",Minden,4,UNK5,43,10,,,
2021-05-25,"AC, SA, DC",Minden,4,MESA,1,2,,,
2021-05-25,"AC, SA, DC",Minden,5,BRTE,1,1,,,
2021-05-25,"AC, SA, DC",Minden,5,UNK5,34,5,,,
2021-05-25,"AC, SA, DC",Minden,5,UNK9,2,1,,,
2021-05-25,"AC, SA, DC",Minden,5,GRASSM1,1,1,,,
2021-05-25,"AC, SA, DC",Minden,5,MESA,1,5,,,
2021-05-25,"AC, SA, DC",Minden,6,GRASS2,1,1,field margin,,
2021-05-25,"AC, SA, DC",Minden,6,COAR4,10,5,field margin,,
2021-05-25,"AC, SA, DC",Minden,6,Atriplex M1,6,5,field margin,,
2021-05-25,"AC, SA, DC",Minden,7,MESA,,100,,,
2021-05-25,"AC, SA, DC",Minden,8,,,,Empty – bare,,
2021-05-25,"AC, SA, DC",Minden,9,,,,bare,,
2021-05-25,"AC, SA, DC",Minden,10,UNK5,2,1,field margin,,
2021-05-25,"AC, SA, DC",Minden,10,MAPA5,1,1,field margin,,
2021-05-25,"AC, SA, DC",Minden,10,UNKM2,2,5,field margin,,
2021-05-25,"AC, SA, DC",Minden,11,,,,bare soil,,
2021-05-25,"AC, SA, DC",Minden,12,,,,building,,
2021-05-25,"AC, SA, DC",Minden,13,,,,bare soil,,
2021-05-25,"AC, SA, DC",Minden,14,,,,bare soil,,
2021-05-25,"AC, SA, DC",Minden,15,GRASSM2,,85,Grass-dominant forage field,,
2021-05-25,"AC, SA, DC",Minden,15,GRASSM3,1,5,Grass-dominant forage field,,
2021-05-25,"AC, SA, DC",Minden,16,,,,blocked gate,,
2021-05-25,"AC, SA, DC",Minden,17,DEPI,1,1,field margin,,
2021-05-25,"AC, SA, DC",Minden,18,BRTE,,60,,,
2021-05-25,"AC, SA, DC",Minden,18,ARDO3,1,5,,,
2021-05-25,"AC, SA, DC",Minden,18,EQAR4,1,1,,,
2021-05-25,"AC, SA, DC",Minden,18,Equisetum sp. 1,,20,,,
2021-05-25,"AC, SA, DC",Minden,18,UNKM4,1,1,,,
2021-05-25,"AC, SA, DC",Minden,19,BRTE,15,5,,,
2021-05-25,"AC, SA, DC",Minden,19,UNK5,5,5,,,
2021-05-25,"AC, SA, DC",Minden,20,BRTE,2,1,in alfalfa field,,
2021-05-25,"AC, SA, DC",Minden,20,MESA,,100,,,
2021-05-25,"AC, SA, DC",Minden,21,,,,bare soil,,
2021-05-25,"AC, SA, DC",Minden,22,MESA,,100,field,,
2021-05-25,"AC, SA, DC",Minden,22,BRTE,1,1,,,
2021-05-25,"AC, SA, DC",Minden,23,MESA,,100,,,
2021-05-25,"AC, SA, DC",Minden,24,SIAL2,2,5,,,
2021-05-25,"AC, SA, DC",Minden,24,ATCA2,1,50,,,
2021-05-25,"AC, SA, DC",Minden,24,BRTE,10,5,field margin,,
2021-05-25,"AC, SA, DC",Minden,24,UNK5,1,1,,,
2021-05-25,"AC, SA, DC",Minden,25,ERCE6,1,1,,,
2021-05-25,"AC, SA, DC",Minden,25,ACHY,1,5,,,
2021-05-25,"AC, SA, DC",Minden,25,BRTE,24,5,by harvester ant mount,,
2021-05-25,"AC, SA, DC",Minden,26,MESA,,100,field,,
2021-05-25,"AC, SA, DC",Minden,27,MESA,,100,field,,
2021-05-25,"AC, SA, DC",Minden,28,ATCA,1,35,,,
2021-05-25,"AC, SA, DC",Minden,28,ARTR2,1,35,,,
2021-05-25,"AC, SA, DC",Minden,29,SATR12,12,5,,,
2021-05-25,"AC, SA, DC",Minden,29,BRTE,45,10,,,
2021-05-25,"AC, SA, DC",Minden,30,Salix M1,1,15,,,
2021-05-25,"AC, SA, DC",Minden,30,ATCA2,1,65,,,
2021-05-25,"AC, SA, DC",Minden,34,GRASSM4,,100,crop grass – rye?,,
2021-05-25,"AC, SA, DC",Minden,35,GRASSM4,,100,crop grass – rye? 30Ft bare road between field and point,,
2021-05-25,"AC, SA, DC",Minden,36,MESA,,100,,,
2021-05-25,"AC, SA, DC",Minden,37,SIAL2,9,10,,,
2021-05-25,"AC, SA, DC",Minden,37,BRTE,15,5,,,
2021-05-25,"AC, SA, DC",Minden,37,AMTE3,1,1,,,
2021-05-25,"AC, SA, DC",Minden,37,ERCI6,2,1,,,
2021-05-25,"AC, SA, DC",Minden,37,SATR12,3,1,,,
2021-05-25,"AC, SA, DC",Minden,38,ATCA2,1,15,,,
2021-05-25,"AC, SA, DC",Minden,38,SIAL2,23,5,,,
2021-05-25,"AC, SA, DC",Minden,38,BRTE,240,1,,,
