name,plotnum,site,type,K3LSfall,K3LSspring,K3LSsummer,K3NAIP,K3sentFall,K3sentSpring,K3sentSummer,K5LSfall,K5LSspring,K5LSsummer,K5NAIP,K5sentFall,K5sentSpring,K5sentSummer,XLSfall,XLSspring,XLSsummer,XNAIP,XsentFall,XsentSpring,XsentSummer,key1,key2
10Margin,10,Minden,Margin,1,1,1,0,1,1,1,0,0,4,3,1,4,4,4,6,6,0,6,6,3,name,"the name of the waypoint, as stored in the GPS"
17Margin,17,Minden,Margin,1,1,0,0,1,1,1,0,0,0,3,1,0,4,4,6,3,0,6,6,3,plotnum,"integer plot number, derived from 'name'"
18Margin,18,Minden,Margin,1,1,0,0,1,1,1,0,0,4,3,1,0,4,4,6,6,5,6,6,3,site,farm where the point is located
21Margin,21,Minden,Margin,0,1,0,0,1,1,1,4,0,0,3,1,1,4,3,6,3,0,3,5,3,type,Margin' or 'Random'
24Margin,24,Minden,Margin,0,1,1,0,1,1,1,4,0,4,3,1,1,4,3,6,6,0,3,5,3,,
25Margin,25,Minden,Margin,0,1,0,0,1,1,1,4,1,0,3,1,1,4,3,5,3,0,3,5,3,,
28Margin,28,Minden,Margin,0,1,0,0,1,1,1,4,1,0,3,1,1,4,3,5,3,0,6,5,3,,
29Margin,29,Minden,Margin,0,1,0,0,0,1,1,4,1,1,3,1,1,4,3,5,4,0,6,5,3,,
30Margin,30,Minden,Margin,0,1,1,0,0,1,1,4,0,4,3,1,0,0,3,4,6,0,6,6,4,,
35Margin,35,Minden,Margin,0,1,0,2,1,1,1,4,1,1,1,3,1,4,3,5,4,1,3,5,3,,
37Margin,37,Minden,Margin,0,1,0,2,1,1,1,4,0,1,1,3,1,4,3,6,4,1,3,5,3,,
38Margin,38,Minden,Margin,0,1,0,2,1,1,1,4,0,1,1,3,1,4,3,6,4,1,3,5,3,,
41Margin,41,Minden,Margin,0,1,0,2,1,1,1,4,0,1,1,1,1,4,3,6,4,1,3,5,3,,
43Margin,43,Minden,Margin,0,1,0,2,1,1,1,4,0,1,1,1,1,4,3,6,4,1,3,5,3,,
44Margin,44,Minden,Margin,0,1,0,2,1,1,1,4,0,1,1,3,1,4,3,6,4,1,3,5,3,,
4Margin,4,Minden,Margin,1,1,1,0,0,1,1,0,0,4,3,1,0,0,4,6,6,0,6,6,4,,
5Margin,5,Minden,Margin,1,1,1,0,1,1,1,0,0,4,3,1,0,0,4,6,6,0,6,6,4,,
6Margin,6,Minden,Margin,2,0,1,0,1,1,1,2,4,3,3,3,0,0,1,4,5,0,3,6,4,,
F23Margin,23,Fallon,Margin,2,0,1,0,1,0,1,2,2,3,3,3,0,0,2,3,5,5,3,6,4,,
F25Margin,25,Fallon,Margin,0,1,0,0,1,0,0,4,0,4,3,3,4,1,3,6,6,5,3,0,5,,
F26Margin,26,Fallon,Margin,0,1,0,0,1,0,1,4,0,0,3,3,4,0,3,6,3,0,3,0,4,,
F28Margin,28,Fallon,Margin,0,1,0,2,1,0,1,4,0,0,1,3,4,0,3,6,3,1,3,6,4,,
F30Margin,30,Fallon,Margin,0,0,1,2,1,0,1,2,2,4,1,3,4,0,2,3,6,0,3,0,4,,
F31Margin,31,Fallon,Margin,0,0,1,0,1,0,1,2,2,3,3,3,4,0,2,3,5,5,3,6,4,,
F3Margin,3,Fallon,Margin,0,0,0,0,0,1,1,0,4,4,3,1,0,4,3,4,3,5,6,6,3,,
F47Margin,47,Fallon,Margin,0,1,0,2,1,0,0,4,0,1,1,3,4,0,3,6,4,0,3,0,4,,
F48Margin,48,Fallon,Margin,0,0,1,2,1,0,1,4,4,4,1,3,4,0,3,4,6,1,3,6,4,,
F50Margin,50,Fallon,Margin,0,0,1,2,1,0,1,4,4,4,2,3,4,0,2,4,6,1,3,6,4,,
F53Margin,53,Fallon,Margin,0,0,1,2,1,0,0,4,2,3,2,4,4,1,2,3,5,3,0,0,5,,
F54Margin,54,Fallon,Margin,0,0,1,1,2,2,0,2,4,4,2,4,2,1,2,3,5,3,0,1,5,,
F56Margin,56,Fallon,Margin,0,0,1,0,1,0,0,2,2,3,0,4,4,1,2,3,5,5,0,6,5,,
F5Margin,5,Fallon,Margin,0,1,0,2,1,0,1,4,4,0,1,3,4,0,3,4,3,0,3,6,4,,
F6Margin,6,Fallon,Margin,0,0,0,2,1,0,1,4,4,0,2,1,4,0,3,4,3,3,3,6,4,,
F7Margin,7,Fallon,Margin,0,0,1,2,1,0,0,4,2,3,2,3,4,0,2,3,5,3,3,0,4,,
F8Margin,8,Fallon,Margin,0,0,1,2,1,0,0,4,4,4,2,3,2,0,3,4,6,3,3,0,4,,
L11MARGIN,11,Lovelock,Margin,0,0,1,2,1,0,0,4,4,4,1,3,2,1,3,4,5,0,0,0,0,,
L16MARGIN,16,Lovelock,Margin,0,1,0,2,1,0,1,4,1,0,1,4,4,0,3,5,3,0,3,6,4,,
L17MARGIN,17,Lovelock,Margin,0,1,0,2,1,0,0,4,1,0,1,3,4,0,3,5,3,1,3,0,4,,
L18MARGIN,18,Lovelock,Margin,0,1,0,2,1,0,1,0,1,0,2,1,4,0,3,5,3,1,3,6,4,,
L25MARGIN,25,Lovelock,Margin,0,2,1,2,2,2,0,2,2,3,2,4,2,3,2,2,2,1,0,1,0,,
L26MARGIN,26,Lovelock,Margin,0,0,1,2,2,2,0,2,2,3,2,4,2,3,2,3,5,1,0,1,0,,
L28MARGIN,28,Lovelock,Margin,2,2,2,2,2,2,0,2,2,3,1,4,2,3,1,2,2,1,0,1,0,,
L41MARGIN,41,Lovelock,Margin,0,0,1,0,2,1,0,4,2,4,3,4,0,0,2,3,6,5,0,5,4,,
L42MARGIN,42,Lovelock,Margin,0,0,1,0,2,1,0,4,2,4,3,4,0,3,2,3,6,5,0,6,0,,
L45MARGIN,45,Lovelock,Margin,0,0,1,0,1,1,1,4,4,4,3,3,1,0,2,4,6,5,3,5,4,,
L46MARGIN,46,Lovelock,Margin,0,1,0,2,1,0,0,0,1,0,2,1,4,0,4,5,3,3,6,6,4,,
L48MARGIN,48,Lovelock,Margin,1,1,0,0,0,1,1,1,1,1,3,1,0,0,6,5,4,5,6,6,4,,
L49MARGIN,49,Lovelock,Margin,1,1,0,0,1,0,0,1,1,1,3,1,4,0,6,5,4,5,6,0,4,,
L4MARGIN,4,Lovelock,Margin,2,2,2,2,2,0,0,3,3,2,1,4,2,3,1,1,1,1,0,0,0,,
L5MARGIN,5,Lovelock,Margin,2,2,2,1,2,0,0,3,3,2,4,4,4,3,1,1,2,4,0,0,0,,
L6MARGIN,6,Lovelock,Margin,2,2,2,1,2,2,2,3,3,2,2,2,2,3,0,1,1,4,1,1,1,,
L8MARGIN,8,Lovelock,Margin,2,0,1,1,2,0,2,2,2,3,4,4,2,3,1,3,2,2,0,0,0,,
L9MARGIN,9,Lovelock,Margin,0,0,1,2,1,0,0,4,2,3,1,3,2,3,2,3,5,1,4,0,0,,
11Random,11,Minden,Random,2,2,2,1,2,2,2,3,3,2,4,2,3,2,0,1,1,2,2,4,2,,
12Random,12,Minden,Random,2,2,2,1,2,2,2,2,3,2,4,2,3,3,1,2,2,4,1,3,1,,
13Random,13,Minden,Random,2,2,2,1,2,2,2,3,3,2,4,2,3,2,0,2,2,4,1,3,1,,
14Random,14,Minden,Random,2,2,2,1,2,2,2,3,3,2,4,2,3,2,1,1,1,4,1,3,1,,
15Random,15,Minden,Random,1,0,0,0,0,0,1,0,4,0,1,0,4,4,4,4,3,0,5,0,3,,
16Random,16,Minden,Random,0,0,1,2,2,2,0,2,2,3,2,4,2,1,2,3,5,3,0,1,5,,
19Random,19,Minden,Random,0,0,1,1,1,2,0,2,2,3,4,4,2,1,2,3,5,4,0,1,5,,
1Random,1,Minden,Random,0,0,1,2,1,0,0,2,4,3,1,4,4,1,2,4,5,0,4,0,5,,
20Random,20,Minden,Random,0,1,1,0,1,1,1,4,0,4,3,3,0,0,2,6,6,0,3,6,4,,
22Random,22,Minden,Random,0,1,0,2,1,1,1,0,1,0,1,1,0,4,3,5,3,0,6,5,3,,
23Random,23,Minden,Random,0,1,0,0,1,1,1,4,1,1,3,3,1,4,3,5,4,0,3,5,3,,
26Random,26,Minden,Random,0,1,0,0,0,1,1,4,1,0,3,1,1,4,3,5,3,0,6,5,3,,
27Random,27,Minden,Random,0,1,0,0,1,1,1,4,1,1,3,3,1,0,3,5,4,0,3,5,4,,
2Random,2,Minden,Random,2,0,1,0,2,0,0,2,4,3,1,4,4,1,2,3,5,0,0,0,5,,
31Random,31,Minden,Random,2,0,1,2,2,2,0,2,2,3,1,4,2,1,2,3,5,1,0,1,5,,
32Random,32,Minden,Random,0,0,1,2,1,2,0,2,2,3,1,4,2,1,2,3,5,1,0,1,5,,
33Random,33,Minden,Random,2,0,1,2,2,2,0,2,2,3,1,4,2,3,2,3,5,1,0,2,0,,
34Random,34,Minden,Random,2,0,1,2,2,0,0,2,4,3,2,4,4,3,1,4,2,1,0,0,0,,
36Random,36,Minden,Random,0,1,0,2,1,1,1,4,1,1,1,3,1,4,3,5,4,1,3,5,3,,
39Random,39,Minden,Random,0,1,0,0,1,1,1,4,0,1,1,3,1,4,3,6,4,0,3,5,3,,
3Random,3,Minden,Random,2,0,1,1,2,2,0,2,2,3,2,4,2,1,2,3,5,4,0,1,5,,
40Random,40,Minden,Random,0,1,0,2,1,1,1,4,0,0,1,3,1,4,3,6,3,1,3,5,3,,
42Random,42,Minden,Random,0,1,0,2,1,1,1,4,0,0,1,3,1,4,3,6,3,1,3,5,3,,
45Random,45,Minden,Random,2,1,0,1,2,2,2,2,4,4,2,2,4,3,1,4,6,4,1,1,0,,
46Random,46,Minden,Random,0,1,0,0,1,1,1,4,0,0,3,3,1,4,3,6,3,0,3,5,3,,
47Random,47,Minden,Random,0,1,0,2,1,1,1,4,0,0,1,3,1,4,3,6,3,1,3,5,3,,
48Random,48,Minden,Random,2,0,1,1,2,2,0,2,2,4,2,4,2,1,1,3,6,3,0,1,0,,
49Random,49,Minden,Random,0,0,1,2,1,2,0,2,2,3,2,4,2,1,2,3,5,3,4,1,5,,
50Random,50,Minden,Random,0,0,1,2,1,2,0,2,2,3,1,4,2,1,2,3,5,1,0,1,5,,
51Random,51,Minden,Random,0,1,0,2,1,1,1,4,1,0,1,1,1,4,3,5,3,1,6,5,3,,
52Random,52,Minden,Random,0,0,1,2,1,0,0,2,2,3,2,4,2,1,2,3,5,3,4,1,5,,
53Random,53,Minden,Random,0,0,1,2,2,0,0,2,4,4,2,4,4,0,1,4,6,3,0,0,4,,
54Random,54,Minden,Random,0,0,0,2,1,0,0,4,4,0,2,3,4,0,3,4,3,3,3,0,4,,
7Random,7,Minden,Random,1,1,1,0,1,1,1,0,0,4,3,1,0,4,4,6,6,0,6,6,3,,
8Random,8,Minden,Random,2,2,2,1,2,2,2,2,2,3,4,4,3,3,1,2,2,4,0,2,0,,
9Random,9,Minden,Random,2,2,2,1,2,2,2,2,2,3,4,4,3,3,1,2,2,4,1,2,0,,
F10Random,10,Fallon,Random,2,2,2,1,2,2,2,2,2,3,4,2,3,3,2,2,2,2,1,2,0,,
F12Random,12,Fallon,Random,2,2,2,1,2,2,2,2,3,3,4,4,2,3,1,2,2,4,0,2,0,,
F13Random,13,Fallon,Random,2,2,2,2,2,2,0,2,3,3,2,4,2,3,1,2,2,3,0,1,0,,
F14Random,14,Fallon,Random,0,0,1,1,2,2,2,4,2,3,4,4,3,3,3,3,5,2,0,2,0,,
F15Random,15,Fallon,Random,0,0,1,2,1,2,0,2,2,3,2,4,2,1,2,3,5,1,4,1,5,,
F16Random,16,Fallon,Random,2,0,1,2,1,2,0,2,2,3,2,4,2,1,2,3,5,3,0,1,5,,
F17Random,17,Fallon,Random,2,2,2,2,1,0,0,2,2,3,1,3,2,1,1,2,2,0,4,0,5,,
F18Random,18,Fallon,Random,0,0,1,2,1,2,0,2,2,3,1,4,2,1,2,3,5,1,0,1,5,,
F19Random,19,Fallon,Random,0,0,1,1,1,2,0,4,2,3,4,4,2,3,2,3,5,2,0,2,0,,
F1Random,1,Fallon,Random,2,0,1,0,2,2,1,2,4,4,3,4,2,0,1,4,6,5,0,1,4,,
F20Random,20,Fallon,Random,0,0,1,2,1,0,0,2,2,3,1,3,2,1,2,3,2,0,4,0,5,,
F22Random,22,Fallon,Random,0,1,1,0,1,1,0,4,0,3,3,3,0,1,3,6,5,0,4,6,5,,
F24Random,24,Fallon,Random,0,1,0,0,1,1,1,0,1,1,3,1,1,4,3,5,4,5,3,5,3,,
F27Random,27,Fallon,Random,0,1,0,0,1,1,1,4,1,1,3,3,1,4,3,5,4,5,3,5,3,,
F2Random,2,Fallon,Random,1,1,1,0,0,1,1,0,4,4,3,0,4,4,4,4,6,5,5,6,3,,
F32Random,32,Fallon,Random,0,1,0,0,0,1,1,4,0,1,3,1,1,4,3,6,4,5,6,5,3,,
F33Random,33,Fallon,Random,1,1,0,0,0,0,1,0,0,0,1,1,4,0,4,6,3,0,6,0,4,,
F34Random,34,Fallon,Random,1,1,0,0,0,1,1,1,4,0,3,1,0,4,6,4,3,5,6,6,3,,
F35Random,35,Fallon,Random,2,2,2,1,1,2,0,2,2,3,4,3,2,1,2,2,2,4,4,1,5,,
F36Random,36,Fallon,Random,2,2,2,1,2,2,2,2,2,3,2,4,3,3,2,2,2,3,0,2,1,,
F37Random,37,Fallon,Random,1,1,1,0,0,1,1,0,0,4,3,0,0,0,4,6,6,5,5,6,4,,
F38Random,38,Fallon,Random,0,1,0,2,0,1,1,4,0,1,1,1,0,4,3,6,4,0,6,5,3,,
F39Random,39,Fallon,Random,0,1,0,0,0,1,1,4,0,1,0,1,0,4,3,6,4,5,6,5,3,,
F40Random,40,Fallon,Random,0,0,0,0,1,0,1,4,4,0,0,1,4,0,3,4,3,5,6,6,4,,
F41Random,41,Fallon,Random,2,2,1,1,2,2,2,2,2,3,2,4,2,3,2,2,2,3,1,2,0,,
F42Random,42,Fallon,Random,0,0,1,0,2,0,1,4,4,4,3,4,4,0,2,3,6,5,0,0,4,,
F43Random,43,Fallon,Random,1,1,0,0,0,1,1,0,0,0,3,0,0,0,4,6,3,5,6,5,4,,
F44Random,44,Fallon,Random,0,0,1,0,1,2,0,4,4,4,3,4,2,1,3,3,6,0,0,1,5,,
F45Random,45,Fallon,Random,0,0,1,0,1,0,0,2,4,3,1,3,4,1,2,4,5,0,4,0,5,,
F46Random,46,Fallon,Random,1,1,0,0,0,1,1,0,4,0,0,0,0,0,4,4,3,5,5,6,3,,
F49Random,49,Fallon,Random,0,1,0,2,1,0,0,4,0,0,2,3,4,0,3,6,3,3,3,0,4,,
F4Random,4,Fallon,Random,0,0,0,0,1,0,1,0,4,0,3,1,0,4,3,4,3,0,3,6,3,,
F51Random,51,Fallon,Random,0,1,0,0,1,1,1,4,1,1,0,3,1,4,3,5,4,5,3,5,3,,
F52Random,52,Fallon,Random,0,0,1,0,2,2,0,4,4,4,3,4,2,1,2,4,6,0,0,1,0,,
F55Random,55,Fallon,Random,0,1,0,0,1,1,1,4,0,0,0,3,0,4,3,6,3,5,3,5,3,,
F57Random,57,Fallon,Random,0,0,1,2,1,2,0,2,2,3,1,3,2,1,2,3,5,1,4,1,5,,
L10RANDOM,10,Lovelock,Random,0,0,1,2,1,0,0,4,4,3,1,3,4,1,2,4,5,1,4,0,5,,
L12RANDOM,12,Lovelock,Random,2,0,1,0,2,0,0,2,2,3,3,4,2,3,2,3,5,0,0,0,0,,
L13RANDOM,13,Lovelock,Random,2,2,2,2,2,2,2,3,3,2,1,4,2,3,1,2,2,1,1,1,0,,
L14RANDOM,14,Lovelock,Random,1,1,0,2,0,1,1,0,1,1,1,1,1,4,4,5,4,0,6,5,3,,
L15RANDOM,15,Lovelock,Random,0,1,0,0,2,1,1,4,0,0,3,4,1,0,3,6,3,0,0,5,4,,
L19RANDOM,19,Lovelock,Random,1,1,0,0,1,1,1,0,1,0,3,3,1,4,4,5,3,5,3,5,3,,
L1RANDOM,1,Lovelock,Random,2,2,0,0,2,2,1,2,2,4,3,4,2,4,1,2,3,5,1,1,3,,
L20RANDOM,20,Lovelock,Random,2,0,1,2,1,2,0,2,2,3,1,4,2,1,2,3,5,1,0,1,5,,
L21RANDOM,21,Lovelock,Random,2,0,2,1,1,2,0,2,2,3,4,4,2,3,2,3,2,4,0,1,0,,
L22RANDOM,22,Lovelock,Random,2,2,2,1,2,2,2,3,3,2,4,2,3,2,0,0,0,2,2,3,2,,
L23RANDOM,23,Lovelock,Random,2,2,2,2,2,2,2,3,3,2,2,2,3,2,0,1,1,3,1,2,1,,
L24RANDOM,24,Lovelock,Random,2,2,2,1,2,2,2,3,3,2,4,2,3,2,0,0,0,2,2,3,2,,
L27RANDOM,27,Lovelock,Random,0,0,1,2,1,2,0,2,2,3,1,3,2,1,2,3,5,0,3,1,5,,
L29RANDOM,29,Lovelock,Random,0,0,1,2,1,0,0,4,2,3,1,3,2,1,2,3,5,1,4,0,5,,
L2RANDOM,2,Lovelock,Random,2,2,1,0,2,0,1,3,3,4,3,2,2,4,0,1,6,5,1,0,3,,
L30RANDOM,30,Lovelock,Random,0,0,1,2,2,0,0,4,4,4,2,4,2,1,3,4,6,1,0,1,0,,
L31RANDOM,31,Lovelock,Random,0,1,0,2,1,1,1,0,1,1,1,3,1,4,4,5,4,0,3,5,3,,
L32RANDOM,32,Lovelock,Random,1,1,0,2,0,1,1,1,1,1,1,1,1,4,6,5,4,0,6,5,3,,
L33RANDOM,33,Lovelock,Random,0,0,1,0,1,0,1,4,2,4,3,1,4,0,3,3,6,5,3,0,4,,
L34RANDOM,34,Lovelock,Random,2,2,2,1,2,2,2,3,3,2,2,4,2,3,1,2,2,3,0,2,0,,
L35RANDOM,35,Lovelock,Random,0,0,1,2,1,2,0,4,2,3,2,4,2,1,2,3,5,3,0,1,0,,
L36RANDOM,36,Lovelock,Random,2,2,2,2,2,0,0,2,3,2,1,4,2,1,1,2,2,1,0,1,0,,
L37RANDOM,37,Lovelock,Random,0,0,1,2,1,2,0,2,2,3,1,4,2,1,2,3,5,1,4,1,5,,
L38RANDOM,38,Lovelock,Random,0,0,0,2,0,0,1,0,4,0,1,1,4,0,4,4,3,1,6,6,4,,
L39RANDOM,39,Lovelock,Random,0,1,0,0,1,0,1,0,0,0,3,3,4,4,3,6,3,5,3,6,3,,
L3RANDOM,3,Lovelock,Random,2,2,1,0,2,0,1,3,3,3,3,2,2,0,0,2,5,5,2,0,4,,
L40RANDOM,40,Lovelock,Random,1,1,0,0,0,1,1,1,1,1,3,1,1,4,6,6,4,5,6,5,3,,
L43RANDOM,43,Lovelock,Random,0,0,1,0,2,1,0,4,4,4,3,4,0,3,2,4,6,5,0,6,0,,
L44RANDOM,44,Lovelock,Random,0,1,0,0,0,1,1,0,1,1,3,1,1,4,3,5,4,5,6,5,3,,
L47RANDOM,47,Lovelock,Random,1,1,0,0,0,1,1,1,1,1,3,1,1,4,6,5,4,5,6,5,3,,
L50RANDOM,50,Lovelock,Random,0,0,1,2,2,0,0,4,2,3,2,4,4,1,2,3,5,1,0,0,5,,
L51RANDOM,51,Lovelock,Random,0,2,2,1,1,2,0,2,2,3,4,4,2,3,2,2,2,2,0,1,0,,
L52RANDOM,52,Lovelock,Random,1,1,0,0,1,1,1,0,1,1,3,3,1,4,4,5,4,5,3,5,3,,
L53RANDOM,53,Lovelock,Random,1,1,0,2,1,1,1,0,0,1,1,1,0,0,4,6,4,0,6,5,4,,
L54RANDOM,54,Lovelock,Random,0,1,0,0,1,1,1,4,0,0,3,3,0,0,3,6,3,5,3,5,4,,
L7RANDOM,7,Lovelock,Random,2,2,2,1,2,2,2,3,3,2,4,2,3,2,0,1,1,2,1,2,1,,
Y1,1,Yerington,Random,2,2,2,1,2,2,2,3,3,2,4,2,3,2,0,0,0,2,2,4,2,,
Y10,10,Yerington,Random,0,2,0,0,1,2,1,2,3,0,3,4,2,0,2,2,3,5,4,1,4,,
Y11,11,Yerington,Random,0,0,0,0,1,2,1,2,2,0,3,3,2,4,2,3,3,5,4,1,3,,
Y12,12,Yerington,Random,1,0,0,0,0,0,1,0,4,0,3,0,4,0,4,4,3,5,5,6,4,,
Y13,13,Yerington,Random,0,0,1,2,1,0,0,4,4,4,1,3,2,0,3,4,6,1,3,0,4,,
Y14,14,Yerington,Random,2,0,1,1,2,2,0,2,2,3,2,4,3,3,2,3,5,3,0,2,0,,
Y15,15,Yerington,Random,0,0,1,0,2,2,0,2,2,4,3,4,2,0,2,2,6,5,0,1,4,,
Y16,16,Yerington,Random,2,2,2,1,2,2,2,3,3,2,4,2,3,2,1,1,1,4,1,3,1,,
Y17,17,Yerington,Random,0,0,1,1,2,2,2,2,2,3,4,4,3,3,2,3,2,4,1,2,0,,
Y18,18,Yerington,Random,0,0,1,0,1,0,0,4,2,4,1,4,2,1,3,3,6,0,0,0,5,,
Y19,19,Yerington,Random,1,1,0,0,0,1,1,0,0,0,3,0,0,0,4,6,3,5,5,5,4,,
Y2,2,Yerington,Random,2,2,0,0,1,2,1,2,3,0,3,1,3,0,1,2,3,5,4,2,4,,
Y20,20,Yerington,Random,1,1,0,0,0,1,1,1,0,1,3,0,0,0,6,6,4,5,5,5,4,,
Y21,21,Yerington,Random,1,1,0,0,0,1,1,1,0,0,3,0,0,0,6,6,3,0,5,6,4,,
Y22,22,Yerington,Random,1,1,0,0,0,0,1,1,0,0,3,0,4,4,6,6,3,5,5,6,3,,
Y23,23,Yerington,Random,0,0,0,0,1,2,1,4,2,0,3,3,2,4,3,3,3,5,3,1,3,,
Y24,24,Yerington,Random,0,0,1,2,1,2,0,2,2,3,2,3,2,1,2,3,5,1,0,2,5,,
Y25,25,Yerington,Random,0,0,1,2,2,2,0,4,4,4,2,4,2,1,3,3,6,3,0,1,5,,
Y26,26,Yerington,Random,0,0,0,0,1,2,1,4,2,0,3,4,2,0,3,3,3,5,0,1,4,,
Y27,27,Yerington,Random,0,0,1,2,1,2,0,2,2,3,2,4,2,1,2,3,5,1,0,1,5,,
Y28,28,Yerington,Random,2,0,1,1,2,2,0,2,2,3,2,4,2,1,2,3,5,3,0,2,0,,
Y29,29,Yerington,Random,0,1,1,2,2,1,0,4,1,4,1,4,0,1,2,5,6,0,0,5,0,,
Y3,3,Yerington,Random,2,0,1,0,2,2,0,2,2,4,3,4,3,0,1,3,6,5,0,2,4,,
Y30,30,Yerington,Random,2,0,1,1,2,2,0,2,2,3,2,4,2,1,2,3,5,3,0,1,5,,
Y31,31,Yerington,Random,0,0,1,1,1,2,0,4,4,4,4,3,2,1,3,4,6,2,3,1,5,,
Y32,32,Yerington,Random,2,2,1,2,2,2,0,2,2,3,2,4,2,1,2,2,5,3,0,1,5,,
Y33,33,Yerington,Random,0,0,1,0,1,2,0,4,2,3,3,3,2,1,2,3,5,5,4,1,5,,
Y34,34,Yerington,Random,0,0,1,0,1,2,0,4,2,4,3,3,2,1,3,3,6,5,3,1,5,,
Y35,35,Yerington,Random,0,0,1,2,1,2,0,4,2,3,1,4,2,1,2,3,5,0,0,2,5,,
Y36,36,Yerington,Random,2,0,1,0,2,2,0,2,2,3,3,4,2,1,2,3,5,0,0,2,5,,
Y4,4,Yerington,Random,2,2,1,0,1,2,0,2,3,3,3,3,3,0,1,2,2,5,4,3,4,,
Y5,5,Yerington,Random,2,2,2,1,2,2,2,2,3,2,4,4,3,3,1,2,2,2,1,3,1,,
Y6,6,Yerington,Random,2,2,1,0,1,2,1,2,2,4,3,3,3,0,1,2,6,5,4,2,4,,
Y7,7,Yerington,Random,2,2,2,1,2,2,2,3,3,2,4,2,3,2,0,1,1,2,1,3,1,,
Y8,8,Yerington,Random,2,2,2,1,2,2,2,2,3,3,4,4,3,3,1,2,2,4,0,2,0,,
Y9,9,Yerington,Random,2,2,2,1,2,2,2,3,3,2,2,2,3,2,1,1,1,4,1,3,1,,
Lovelock,11ALT,Lovelock,Random,0,1,0,2,1,1,1,4,1,0,1,3,0,0,3,5,3,1,3,6,4,,
Lovelock,4ALT,Lovelock,Random,0,0,1,2,1,1,1,4,4,4,1,3,1,0,3,4,6,1,3,5,4,,
Lovelock,5ALT,Lovelock,Random,0,1,1,2,2,0,0,4,4,4,2,4,4,3,2,4,6,3,0,0,0,,
Lovelock,6ALT,Lovelock,Random,0,0,1,1,2,0,0,4,4,4,2,4,4,1,3,4,6,3,0,6,0,,
Lovelock,8ALT,Lovelock,Random,0,1,0,1,1,0,0,4,0,0,2,3,4,0,3,6,3,3,3,6,4,,
Lovelock,9ALT,Lovelock,Random,0,1,1,2,1,0,0,4,0,4,1,3,4,1,3,6,6,1,3,0,5,,
